M_BH,M_sph,R_e,sSFR
8.033287,10.604615,0.29678443,-9.873332
8.164039,10.776575,0.36111975,-9.925866
8.049826,10.977016,-0.006759674,-9.8448
8.256039,10.946639,0.4384297,-9.883102
8.16112,10.363717,0.35356656,-9.709233
8.375464,10.953264,0.42623946,-10.016245
8.88863,11.393588,0.82179743,-9.789804
9.662701,11.916354,0.6313369,-9.801022
8.488404,11.0363455,0.45166197,-9.913379
8.402521,10.986744,0.3669774,-9.891931
8.414485,10.972411,0.88835,-10.211523
8.46873,11.041108,0.39913714,-9.893196
7.9898243,10.467402,0.35683367,-9.963628
8.323732,10.818455,0.4004822,-9.871787
8.573676,11.040803,0.7182255,-9.952366
8.172914,11.036044,0.3869773,-9.98287
8.658084,11.0068865,0.83706266,-9.983486
9.219968,11.324111,0.43964863,-9.628283
7.9043684,11.101247,0.17479587,-9.964718
8.001223,11.085512,0.121819824,-9.8771515
8.330877,11.242518,0.36239094,-9.661594
7.988724,11.027922,0.3287985,-9.8218355
8.387287,10.94553,0.39646432,-9.994257
8.843415,11.258762,0.5931852,-9.383018
8.407313,11.079028,0.46001476,-9.888948
8.43243,11.098667,0.35938707,-9.916203
9.151596,11.241386,0.94936734,-9.969019
8.9985695,10.917645,0.6921483,-10.0026245
8.448892,11.141436,0.21646011,-9.941325
8.40018,10.852139,0.3424352,-9.895126
8.65959,11.105888,0.572983,-9.810003
8.1567955,10.811163,0.2614089,-9.81273
8.174983,11.141275,0.4133195,-9.98546
8.035837,10.953168,0.35831574,-9.999354
9.830296,11.657255,0.9160077,-9.86245
8.901824,11.265848,0.58801496,-9.770548
7.873023,10.445594,0.32858172,-9.808013
8.423349,11.033022,0.34351733,-9.884921
8.859244,11.016307,0.63104296,-9.88831
8.005578,10.854262,0.36348277,-9.9740505
8.198055,10.622946,0.23756354,-9.8650875
8.241439,10.73966,0.27516198,-9.947304
8.102774,10.812059,0.26374498,-9.989552
8.205307,10.362822,0.84284854,-9.930475
9.296126,11.520706,1.0890459,-10.070227
9.088939,11.511266,0.5862829,-9.850807
10.162712,12.250205,0.7431835,-9.603817
8.007579,11.012524,0.3513453,-9.822008
8.650815,10.934055,0.61549026,-10.329377
7.9088845,10.348162,0.49953157,-9.802134
8.092605,11.0779505,0.44942027,-9.809304
8.877636,11.234105,0.4896637,-9.930155
9.152095,11.260565,0.5788629,-9.874972
8.16285,11.021926,0.28696674,-9.9115505
8.476495,10.694108,0.082227,-9.575742
9.221944,11.491484,0.5065767,-9.80316
9.089594,11.592679,0.19909099,-10.074918
9.158754,11.563108,0.3618717,-9.982431
8.611625,10.883862,-0.25411832,-9.765431
8.635018,11.238014,0.41364104,-9.989883
8.980755,11.289182,0.31141204,-10.003818
8.56278,10.977527,0.4572311,-9.963247
8.206813,10.426091,0.8926687,-9.848727
8.708943,11.2808485,0.20956062,-10.079914
9.341094,11.554254,0.98541284,-10.0669985
8.283576,11.078033,0.27860025,-9.772029
9.599166,11.8014965,0.65968937,-9.149172
9.422004,12.010792,0.66974497,-9.728315
10.837555,12.459257,0.8837595,-9.760366
8.433308,10.860734,0.6934352,-9.854283
8.836596,10.877679,0.553329,-9.916218
8.731257,11.044547,0.5785842,-9.947605
8.874565,10.891438,0.4068315,-9.719376
8.450884,11.212475,0.44968617,-9.853544
7.9433093,10.386283,0.18637483,-9.9203615
8.588258,10.768761,0.31763294,-9.988839
8.140402,11.080257,0.5378263,-9.938692
8.832365,11.255143,0.38407463,-9.681888
8.702026,11.174138,0.8931236,-9.774724
8.720525,11.176577,0.3916579,-9.8857155
8.835169,11.055728,0.6370238,-10.636117
8.866366,11.254275,0.55128676,-10.03582
8.42978,11.148162,0.19611086,-9.980403
9.526928,11.686364,0.65690076,-9.965305
9.848439,11.985275,0.74888295,-9.649882
8.813135,11.220009,0.317045,-9.988616
8.42683,11.176778,0.4694425,-9.54671
8.82103,10.892313,0.51696587,-9.961135
8.708029,10.906789,0.42420927,-9.920767
8.828536,11.0550585,0.72500753,-9.812257
8.126582,10.990638,0.4338616,-9.941432
8.041984,10.745716,0.4948538,-9.796827
9.242491,11.1872635,0.61903524,-9.940653
9.080853,11.199715,0.43784606,-10.00275
8.4756155,11.093684,0.5306296,-9.858304
10.181721,12.232061,0.790146,-9.961605
9.08784,11.374231,1.0509892,-10.10506
8.378147,10.832495,-0.019740075,-9.974071
7.747957,10.215077,0.581038,-10.262644
8.089932,10.528736,0.3884209,-9.853324
8.022891,10.6575985,0.34139046,-9.861496
9.755631,11.702579,0.69467026,-9.995756
8.274693,10.842692,0.4087718,-9.955483
8.13715,10.44336,0.53693926,-10.102062
8.653961,11.249311,0.5114505,-9.919503
8.537343,11.0043745,0.5355772,-10.074853
8.526473,11.334819,0.4525646,-10.196908
8.857608,10.894712,0.71926564,-9.847314
8.558872,10.976405,0.38025185,-9.9055605
8.765151,11.16328,0.38806126,-9.932824
7.9147005,9.885911,0.40301827,-9.895247
8.682995,10.999757,0.5310374,-9.961205
8.197629,10.607242,0.221048,-9.84405
8.055101,10.988143,0.38600338,-9.898975
8.424402,10.83113,0.4989222,-10.12519
6.9122386,10.362931,0.17526422,-10.870267
10.253474,12.377943,0.79964983,-9.899012
8.293488,10.983088,0.48839876,-9.849937
9.354743,11.379064,0.60434735,-9.936397
8.387612,10.8695135,0.7758252,-9.932458
9.53533,11.559347,0.6123697,-9.8329115
8.481426,10.99126,0.27655718,-9.891188
8.242418,10.999414,0.41883224,-9.877799
8.41788,11.113824,0.33643037,-9.920262
8.210185,10.611608,0.36671057,-9.748738
8.616722,10.9853325,0.5841688,-9.929952
8.492452,11.039757,0.14103885,-9.905658
8.4793005,11.084968,0.4550107,-9.971411
9.318502,11.808454,0.5188198,-9.963844
8.740223,10.949531,0.4488169,-10.132012
9.09628,11.436905,0.3958431,-9.324108
8.8401,10.920168,0.65437776,-9.936913
8.424598,10.975997,0.47360742,-10.072412
8.38726,10.908744,0.32040232,-9.970637
8.164305,11.159861,0.0921623,-9.864967
8.677275,11.275357,0.6342116,-9.900517
9.4532175,11.494423,0.66821253,-9.8310375
8.777545,10.940234,0.49245158,-10.053562
8.743877,10.805519,0.7517264,-10.017557
8.176507,10.828337,0.38405713,-9.914922
8.071146,10.599126,0.40831867,-9.761823
8.433601,10.772699,0.32010147,-9.788497
8.111655,11.059563,0.2378137,-9.929165
8.645183,11.227436,0.2926893,-10.038425
8.522515,10.778177,0.36049685,-9.859376
8.536816,10.764493,0.39288774,-9.94031
8.071474,10.712079,0.25692073,-9.842797
8.466458,10.686795,0.5987835,-10.004958
8.204675,11.136325,0.06485876,-9.8782
8.456582,10.91074,0.2984825,-9.965479
8.605648,11.227055,0.32779306,-10.092798
8.714232,11.165904,0.9903301,-10.015476
8.323095,11.073836,0.18188198,-9.960489
8.5103655,11.165434,0.40318915,-9.903832
8.563336,10.979631,0.58770186,-9.942612
8.9045,10.960557,0.7357225,-10.111061
8.4148245,11.006868,0.43529773,-9.926321
8.373257,10.909147,0.37768048,-9.932892
9.236912,11.343575,0.5614728,-9.972964
9.286882,11.319414,0.68198,-9.958312
8.952067,10.948238,0.44410926,-9.782745
8.3318815,11.037275,0.40484154,-9.937238
8.956548,11.08593,1.1801751,-9.871529
7.5199747,9.731363,0.35884926,-10.6213255
8.1134405,10.928787,0.20022798,-9.83408
9.793679,12.28743,0.56684786,-9.79668
7.9147005,10.3713455,0.6323782,-9.955629
8.515448,10.917261,0.45305723,-9.889564
7.9054093,9.976009,0.54334134,-9.76684
7.9402966,10.14893,0.71421283,-9.725098
8.347278,11.181566,0.3892595,-9.891451
8.343067,10.999186,0.2943683,-9.911233
8.574594,11.010654,0.3462082,-9.948515
9.029662,11.529431,0.5791768,-9.610666
8.543435,10.9793825,0.5448302,-9.924891
8.305027,10.676561,0.35256487,-9.953499
8.343171,10.843745,-0.014068545,-9.883894
8.059711,10.897868,0.29517198,-9.794076
8.403607,10.529573,0.5783632,-10.243463
8.0377245,10.898256,0.29401758,-9.967916
7.7236032,11.176073,0.19924536,-9.907582
8.582047,11.06749,0.40124762,-9.9150305
8.526227,10.981531,0.49293813,-9.935903
9.068291,11.199834,1.0304945,-9.924827
9.023003,11.235224,0.8899255,-9.752608
9.99777,11.850757,1.156696,-9.931385
8.805608,10.724557,0.5712408,-9.814742
9.648278,11.898965,0.6108235,-9.945738
9.798756,12.081739,0.5722431,-9.896919
11.71595,12.789577,0.9110463,-9.592865
8.317859,10.895223,0.61185807,-9.687744
8.151058,10.800724,0.16703638,-10.71602
8.419777,10.559236,0.37544784,-9.983432
8.731474,11.217223,0.3269457,-9.938304
9.069872,11.419118,0.81078553,-9.828412
8.641048,11.266841,0.29710093,-9.934854
8.447874,10.894483,0.29262558,-9.950462
8.222045,10.966306,0.17148452,-9.903371
8.1025915,10.804525,0.32924783,-9.909538
8.294491,10.669419,0.3442996,-9.988337
8.816436,11.366143,0.47229707,-9.912045
9.235923,11.2789,0.9087091,-9.89218
8.389024,11.072717,0.33724406,-9.874544
8.125456,10.898019,0.33968115,-9.908313
8.410301,10.749637,-0.17328057,-9.851983
9.922116,12.078844,0.78250104,-9.904052
8.266949,10.545891,0.20334172,-9.679698
8.818324,11.146382,0.28284857,-9.958411
8.135155,10.289829,0.35265565,-9.745476
9.391312,11.537288,0.7957909,-10.102448
7.981913,10.346264,0.11135032,-9.890377
8.605347,10.888006,0.13303602,-9.712286
8.705105,11.124173,0.5740047,-9.840475
8.198004,10.819174,0.23795211,-9.966557
8.114188,10.495504,0.2891631,-9.806118
7.8586035,10.504292,0.22076689,-9.965099
8.541885,11.120409,0.6619944,-10.049381
8.377502,11.101633,0.09376554,-9.95162
7.941337,10.569925,0.3837538,-9.900069
8.757249,11.049933,0.46066505,-9.890879
8.3969145,10.753714,0.6040084,-10.267748
8.427013,10.7415905,0.1985657,-9.949234
9.030996,11.494889,0.51711446,-9.808462
10.619536,12.405985,0.7583446,-9.745489
8.675693,11.254845,0.50048804,-9.941807
8.19005,11.081624,0.39315718,-9.881886
8.020028,10.736514,0.10133289,-9.679058
8.857532,11.127905,0.19671687,-9.997091
8.756809,11.434329,0.6347377,-9.991751
10.72778,12.366351,0.7137183,-9.663484
8.523341,11.0965185,0.37719563,-9.9250145
8.086006,10.820085,0.17565882,-9.96061
7.616189,9.95373,0.3175912,-10.062801
9.034616,11.204269,0.36595514,-9.994993
8.100142,10.415973,0.46935904,-9.740466
8.620428,10.9036255,0.47292316,-9.978834
8.148408,10.8412895,0.27022383,-9.898697
8.171245,10.915131,0.36863726,-9.97876
8.7883415,11.259014,0.33818626,-9.942281
8.583036,10.764737,0.37372625,-9.895286
8.6930065,11.180575,0.46619993,-9.989032
8.168467,10.885517,0.41023558,-9.911952
8.088233,10.291661,0.74311495,-9.745473
8.772521,11.009309,0.47425097,-9.970402
8.330218,10.856067,0.41499543,-9.675827
8.112026,10.693723,0.35374057,-9.860888
9.352921,11.707951,0.48936474,-9.912896
8.781414,10.984806,0.5141908,-9.833938
8.483249,10.801199,0.53975564,-9.871698
8.642627,11.160594,0.876636,-10.417504
8.5564165,11.025385,0.39941165,-9.888362
8.328658,10.640354,0.5354142,-9.754771
8.5933895,10.935656,0.48574337,-9.988257
8.448727,11.042887,0.40006933,-9.917371
8.273514,10.732147,0.33784702,-9.850211
8.750373,10.954582,0.41383153,-10.046843
8.377639,10.873889,0.289353,-10.990151
8.804063,11.007556,0.41374293,-9.922812
