M_BH,M_sph,R_e,sSFR
7.884972,10.209812,0.7402904,-13.806155
8.483372,11.003391,0.59840167,-12.806068
8.2470875,10.878671,0.6817351,-12.705978
8.307453,10.831171,0.7761522,-11.496136
9.223722,11.560217,0.9989744,-12.467524
8.616591,11.009397,0.63140506,-13.777026
9.278666,11.43904,1.0130944,-12.999311
8.588411,10.845736,1.0180991,-12.880331
8.049158,10.90764,0.63830847,-12.49533
8.535795,11.170328,0.82824314,-14.716212
8.42456,10.753179,0.67585933,-12.963345
8.341083,10.939942,0.6740482,-11.580371
9.082286,11.325732,1.0788689,-11.944048
8.333941,10.93229,0.69380313,-14.777857
9.16099,11.468172,0.81773275,-12.607467
8.515624,10.923188,0.7929613,-12.539888
8.111805,10.476217,0.73600507,-11.732864
8.302853,10.807649,0.8008145,-11.88223
8.734619,11.2851715,0.83791155,-13.361538
8.625216,10.733396,0.7418444,-12.727201
8.571495,10.798483,0.8185483,-15.499304
8.047923,10.560267,0.78109133,-11.602776
8.495396,11.0258465,0.84901893,-14.819192
8.623572,11.197609,0.7866308,-14.518806
8.237419,10.854343,0.53271455,-12.943081
8.694305,11.222738,0.837837,-14.125314
8.32295,11.077339,0.6987071,-14.55156
8.5005865,10.961341,0.5755446,-12.68378
7.869167,10.091051,0.97130275,-11.26732
8.184045,10.900878,0.76543146,-12.514794
8.23077,11.079602,0.74684095,-16.427332
8.937968,11.311145,0.80123067,-15.814985
8.588058,11.091595,0.66960657,-13.123185
8.677288,10.924442,0.58683586,-13.630529
8.823343,10.912932,0.94302976,-14.155488
9.000008,11.3993025,0.7903002,-13.265468
8.219272,10.815372,0.7621543,-15.280714
8.907474,11.223356,0.7583513,-12.371291
8.992463,11.328161,0.8972484,-13.407127
9.129844,11.385945,0.9521895,-14.218572
9.1626,11.525001,1.1479793,-13.627298
8.138251,11.005058,0.7097587,-14.248846
8.629673,11.392251,0.9286289,-13.711072
8.309207,10.596227,0.6677571,-13.195921
8.233972,10.572693,0.8955523,-11.7953825
8.376299,10.733668,0.76487845,-12.552238
8.465556,10.955498,0.7624116,-12.555112
7.9146323,10.3526745,0.6510567,-11.708792
8.195226,10.384555,0.7170737,-12.873707
8.574689,10.920529,0.87281287,-11.946441
8.7372675,11.23072,0.89974034,-14.169568
8.427526,10.569177,0.4854019,-13.236935
7.9115334,10.410281,0.90720683,-11.546934
7.846806,10.415021,0.7503197,-11.272971
8.468533,11.066998,0.6632338,-13.228011
8.548684,10.866934,0.6659891,-12.779427
8.704728,11.15592,0.78606534,-13.5186615
8.58546,10.713726,0.7123971,-13.370745
8.453092,11.029595,0.92135555,-13.238953
6.526323,10.371265,0.047294326,-12.607338
8.944641,11.2607155,0.86941224,-13.8130245
9.451899,11.687953,1.0314577,-12.588382
8.389224,10.973738,0.79196835,-12.493023
8.418962,10.956497,0.54147047,-16.582783
8.706769,11.1519165,0.9092981,-14.24924
8.2358265,10.853506,0.80690545,-13.158974
8.311344,10.691993,0.5638422,-13.406058
8.665136,11.174588,0.763414,-12.880935
8.397729,10.961519,0.8947072,-11.741699
8.272882,10.920093,0.7924144,-13.811378
6.8095055,10.256792,0.27023906,-11.969616
9.011156,10.898826,0.7454078,-13.103804
8.746932,11.3290615,0.9356589,-15.654181
8.437269,10.987865,0.85510695,-11.828981
8.494388,10.872317,0.77376175,-13.991456
8.231623,10.55328,0.69744265,-13.056977
8.194787,10.718047,0.7767645,-11.693635
8.249591,10.926862,0.7148501,-13.900368
8.171364,11.019659,0.5234943,-14.6415615
8.660027,11.246166,0.9368534,-14.883281
8.374906,10.983307,0.8851479,-14.795667
8.657865,11.088185,0.8461437,-15.420746
8.414453,10.961648,0.86460406,-12.194647
8.311946,11.205559,0.6601761,-14.821075
8.785435,11.261114,0.8001352,-15.070625
8.585436,10.789365,0.8529763,-12.475121
7.9003205,10.125539,0.77988505,-11.614821
8.340895,10.779478,1.0910254,-11.755461
8.925661,11.158455,0.94642824,-13.307291
8.315819,10.717102,0.76757556,-13.487812
8.365882,10.885697,0.83880466,-11.615236
8.236974,10.842875,0.6607329,-13.0999
8.676551,11.083154,0.8160077,-16.728315
8.51027,11.151035,0.65491945,-14.396478
8.507626,11.106398,0.8290818,-14.030073
8.630167,10.950398,0.7271718,-12.649972
8.754969,11.199292,0.8022196,-14.79685
8.278434,11.091228,0.64600223,-13.16736
9.015995,11.369521,0.92419094,-14.766614
8.1502285,10.575234,0.6732407,-11.593222
8.555467,11.212055,0.6878732,-12.7859125
8.559905,10.81445,0.89159524,-13.177163
8.806655,11.278155,0.8772614,-12.352193
8.490985,10.788598,0.8097754,-12.284583
8.444443,11.203094,0.6961659,-13.256093
8.771262,11.2237215,0.92731684,-11.912654
8.006054,10.563412,0.7003217,-11.883689
8.923664,11.272906,0.96165615,-12.1786995
8.355307,10.818884,0.6021179,-12.666864
8.3759165,11.092594,0.6712494,-11.845669
8.253625,10.7895975,0.6473326,-12.963552
7.9323134,10.551053,0.5957907,-11.835548
8.276948,10.860964,0.7717629,-12.49254
8.477435,10.940765,0.8275604,-11.866828
8.624468,11.087427,0.90998507,-12.005722
8.5327015,11.080664,0.6902347,-14.491127
9.034262,11.401355,0.9439459,-14.130865
9.047045,11.063143,0.76095897,-12.840483
8.798004,11.128593,0.91803855,-12.611244
8.6155205,10.997247,0.7745083,-12.993483
8.770105,11.053489,0.8351519,-13.48453
